chat_row,text_message,cleaned_text,workout_related_words,diet_related_words
1,Today was the horrible day for my sugar-free. I feel so disappointing about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'sugar-free', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,1
2,Today was the horrible day for my gym. I feel so hate about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'gym', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",1,0
3,I great my sports session today! It really made a difference in my deadlift!,"['i', 'great', 'my', 'sports', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'deadlift', '!']",2,0
4,Today was the bad day for my plank. I feel so negative about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'plank', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",1,0
5,Today was the disappointing day for my nutrient-dense. I feel so hate about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'nutrient-dense', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",0,1
6,Today was the bad day for my gluten-free. I feel so poor about it.,"['today', 'was', 'the', 'bad', 'day', 'for', 'my', 'gluten-free', '.', 'i', 'feel', 'so', 'poor', 'about', 'it', '.']",0,1
7,I positive my meal prep session today! It really made a difference in my sports!,"['i', 'positive', 'my', 'meal', 'prep', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'sports', '!']",1,0
8,Today was the hate day for my recovery. I feel so disappointing about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'recovery', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",1,0
9,I good my gluten-free session today!,"['i', 'good', 'my', 'gluten-free', 'session', 'today', '!']",0,1
10,Today was the poor day for my sugar-free. I feel so bad about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'sugar-free', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",0,1
11,I happy my strength session today! It really made a difference in my motivation!,"['i', 'happy', 'my', 'strength', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'motivation', '!']",2,0
12,Today was the poor day for my fitness. I feel so negative about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'fitness', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",1,0
13,I fantastic my healthy snacks session today! It really made a difference in my active lifestyle!,"['i', 'fantastic', 'my', 'healthy', 'snacks', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'active', 'lifestyle', '!']",0,0
14,I excellent my health session today! It really made a difference in my workout!,"['i', 'excellent', 'my', 'health', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'workout', '!']",2,0
15,I good my cardio session today!,"['i', 'good', 'my', 'cardio', 'session', 'today', '!']",1,0
16,Today was the hate day for my organic. I feel so worst about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'organic', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",0,1
17,Today was the sad day for my performance. I feel so worst about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'performance', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",1,0
18,I positive my food diary session today!,"['i', 'positive', 'my', 'food', 'diary', 'session', 'today', '!']",0,0
19,Today was the poor day for my aerobics. I feel so horrible about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'aerobics', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",1,0
20,Today was the sad day for my high-protein. I feel so negative about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'high-protein', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,1
21,I fantastic my high-protein session today! It really made a difference in my pilates!,"['i', 'fantastic', 'my', 'high-protein', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'pilates', '!']",1,1
22,Today was the horrible day for my meal prep. I feel so sad about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'meal', 'prep', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",0,0
23,Today was the disappointing day for my fats. I feel so worst about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'fats', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",0,1
24,I good my nutrition labels session today! It really made a difference in my strength training!,"['i', 'good', 'my', 'nutrition', 'labels', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'strength', 'training', '!']",2,1
25,I fantastic my meal plan session today!,"['i', 'fantastic', 'my', 'meal', 'plan', 'session', 'today', '!']",0,0
26,I happy my calories session today!,"['i', 'happy', 'my', 'calories', 'session', 'today', '!']",0,1
27,Today was the poor day for my meal prep. I feel so bad about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'meal', 'prep', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",0,0
28,Today was the horrible day for my fitness goals. I feel so sad about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'fitness', 'goals', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
29,I great my balanced diet session today! It really made a difference in my cycling!,"['i', 'great', 'my', 'balanced', 'diet', 'session', 'today', '!', 'it', 'really', 'made', 'a', 'difference', 'in', 'my', 'cycling', '!']",1,1
30,I excellent my muscle gain session today!,"['i', 'excellent', 'my', 'muscle', 'gain', 'session', 'today', '!']",1,0
31,Today was the sad day for my meal prep. I feel so worst about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'meal', 'prep', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",0,0
32,Today was the horrible day for my carbohydrates. I feel so negative about it.,"['today', 'was', 'the', 'horrible', 'day', 'for', 'my', 'carbohydrates', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,1
33,Today was the worst day for my cardiovascular. I feel so bad about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'cardiovascular', '.', 'i', 'feel', 'so', 'bad', 'about', 'it', '.']",1,0
34,Today was the poor day for my aerobics. I feel so sad about it.,"['today', 'was', 'the', 'poor', 'day', 'for', 'my', 'aerobics', '.', 'i', 'feel', 'so', 'sad', 'about', 'it', '.']",1,0
35,Today was the disappointing day for my superfoods. I feel so hate about it.,"['today', 'was', 'the', 'disappointing', 'day', 'for', 'my', 'superfoods', '.', 'i', 'feel', 'so', 'hate', 'about', 'it', '.']",0,1
36,Today was the sad day for my low-sodium. I feel so negative about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'low-sodium', '.', 'i', 'feel', 'so', 'negative', 'about', 'it', '.']",0,1
37,Today was the hate day for my meal plan. I feel so disappointing about it.,"['today', 'was', 'the', 'hate', 'day', 'for', 'my', 'meal', 'plan', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,0
38,I positive my wellness session today!,"['i', 'positive', 'my', 'wellness', 'session', 'today', '!']",1,0
39,Today was the worst day for my fitness. I feel so worst about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'fitness', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",1,0
40,Today was the sad day for my keto. I feel so worst about it.,"['today', 'was', 'the', 'sad', 'day', 'for', 'my', 'keto', '.', 'i', 'feel', 'so', 'worst', 'about', 'it', '.']",0,1
41,I positive my gym session today!,"['i', 'positive', 'my', 'gym', 'session', 'today', '!']",1,0
42,Today was the negative day for my weight loss. I feel so disappointing about it.,"['today', 'was', 'the', 'negative', 'day', 'for', 'my', 'weight', 'loss', '.', 'i', 'feel', 'so', 'disappointing', 'about', 'it', '.']",0,0
43,Today was the worst day for my powerlifting. I feel so horrible about it.,"['today', 'was', 'the', 'worst', 'day', 'for', 'my', 'powerlifting', '.', 'i', 'feel', 'so', 'horrible', 'about', 'it', '.']",1,0
